left,right,layer,cosine_similarity
contrast_explicit.cooperative,cooperative,18,0.31228721141815186
contrast_explicit.cooperative,cooperative,21,0.1716080605983734
contrast_explicit.cooperative,cooperative,24,0.1757029891014099
contrast_explicit.cooperative,cooperative,30,0.15030016005039215
contrast_explicit.cooperative,cooperative,33,0.11823742091655731
contrast_explicit.cooperative,cooperative,35,-0.07554496079683304
contrast_explicit.cooperative,cooperative,mean,0.2609286300010151
contrast_explicit.cooperative,orthogonalized.aggressive,6,-0.9468133449554443
contrast_explicit.cooperative,orthogonalized.aggressive,9,-0.9723865985870361
contrast_explicit.cooperative,orthogonalized.aggressive,12,-0.9769331216812134
contrast_explicit.cooperative,orthogonalized.aggressive,18,-0.9997023940086365
contrast_explicit.cooperative,orthogonalized.aggressive,21,-0.9689153432846069
contrast_explicit.cooperative,orthogonalized.aggressive,24,-0.9604305028915405
contrast_explicit.cooperative,orthogonalized.aggressive,30,-0.9470303654670715
contrast_explicit.cooperative,orthogonalized.aggressive,33,-0.941128671169281
contrast_explicit.cooperative,orthogonalized.aggressive,35,-0.8724892139434814
contrast_explicit.cooperative,orthogonalized.aggressive,mean,-0.9539810617764791
contrast_explicit.cooperative,orthogonalized.cooperative,6,0.9468144774436951
contrast_explicit.cooperative,orthogonalized.cooperative,9,0.9724185466766357
contrast_explicit.cooperative,orthogonalized.cooperative,12,0.976921796798706
contrast_explicit.cooperative,orthogonalized.cooperative,18,0.9997004866600037
contrast_explicit.cooperative,orthogonalized.cooperative,21,0.9689270257949829
contrast_explicit.cooperative,orthogonalized.cooperative,24,0.9604508876800537
contrast_explicit.cooperative,orthogonalized.cooperative,30,0.9470255970954895
contrast_explicit.cooperative,orthogonalized.cooperative,33,0.9411090016365051
contrast_explicit.cooperative,orthogonalized.cooperative,35,0.872555136680603
contrast_explicit.cooperative,orthogonalized.cooperative,mean,0.9539914396074083
cooperative,orthogonalized.aggressive,6,-0.2432604879140854
cooperative,orthogonalized.aggressive,9,-0.22869697213172913
cooperative,orthogonalized.aggressive,12,-0.3076719045639038
cooperative,orthogonalized.aggressive,18,-0.33534979820251465
cooperative,orthogonalized.aggressive,21,-0.40999552607536316
cooperative,orthogonalized.aggressive,24,-0.44293639063835144
cooperative,orthogonalized.aggressive,30,-0.45983392000198364
cooperative,orthogonalized.aggressive,33,-0.4469532072544098
cooperative,orthogonalized.aggressive,35,-0.4213244318962097
cooperative,orthogonalized.aggressive,mean,-0.3662247376309501
cooperative,orthogonalized.cooperative,6,0.24326390027999878
cooperative,orthogonalized.cooperative,9,0.22883008420467377
cooperative,orthogonalized.cooperative,12,0.3076208829879761
cooperative,orthogonalized.cooperative,18,0.3354264795780182
cooperative,orthogonalized.cooperative,21,0.4099525511264801
cooperative,orthogonalized.cooperative,24,0.442870169878006
cooperative,orthogonalized.cooperative,30,0.4598475694656372
cooperative,orthogonalized.cooperative,33,0.44700536131858826
cooperative,orthogonalized.cooperative,35,0.4212019443511963
cooperative,orthogonalized.cooperative,mean,0.36622432702117497
orthogonalized.aggressive,orthogonalized.cooperative,6,-0.9999982118606567
orthogonalized.aggressive,orthogonalized.cooperative,9,-0.9999979734420776
orthogonalized.aggressive,orthogonalized.cooperative,12,-0.9999988675117493
orthogonalized.aggressive,orthogonalized.cooperative,18,-0.9999991655349731
orthogonalized.aggressive,orthogonalized.cooperative,21,-0.9999995231628418
orthogonalized.aggressive,orthogonalized.cooperative,24,-0.999999463558197
orthogonalized.aggressive,orthogonalized.cooperative,30,-0.9999995827674866
orthogonalized.aggressive,orthogonalized.cooperative,33,-0.9999996423721313
orthogonalized.aggressive,orthogonalized.cooperative,35,-0.9999995231628418
orthogonalized.aggressive,orthogonalized.cooperative,mean,-0.9999991059303284
